Loaded 844 biological neurons from model/best_params.pickle (bin_size=20, activation_bin_size=20, evr>0.7).
Launching 15 task(s) with 7 worker(s): ['cuda:0', 'cuda:1', 'cuda:2', 'cuda:4', 'cuda:5', 'cuda:6', 'cuda:7']
Started random run 2 | seed=1235 | device=cuda:1 | trainable_params=22538 | total_params=23184
Epoch 021/300 | train_loss=12.1672 | train_acc=0.9699 | test_loss=2.5243 | test_acc=0.8629
Epoch 019/300 | train_loss=13.2079 | train_acc=0.9687 | test_loss=2.6252 | test_acc=0.8551
Epoch 019/300 | train_loss=17.1513 | train_acc=0.9582 | test_loss=3.3406 | test_acc=0.7028
Epoch 019/300 | train_loss=19.7080 | train_acc=0.9524 | test_loss=3.4419 | test_acc=0.7462
Epoch 019/300 | train_loss=271.5442 | train_acc=0.1124 | test_loss=46.0194 | test_acc=0.1135
Epoch 019/300 | train_loss=16.7945 | train_acc=0.9594 | test_loss=3.4261 | test_acc=0.6188
Epoch 018/300 | train_loss=271.5445 | train_acc=0.1124 | test_loss=46.0192 | test_acc=0.1135
Epoch 022/300 | train_loss=12.2070 | train_acc=0.9704 | test_loss=2.4253 | test_acc=0.8862
Epoch 020/300 | train_loss=16.8805 | train_acc=0.9583 | test_loss=3.7043 | test_acc=0.6823
Epoch 020/300 | train_loss=12.2420 | train_acc=0.9705 | test_loss=2.5827 | test_acc=0.8053
Epoch 020/300 | train_loss=19.1382 | train_acc=0.9536 | test_loss=3.4999 | test_acc=0.6732
Epoch 020/300 | train_loss=271.5407 | train_acc=0.1124 | test_loss=46.0197 | test_acc=0.1135
Epoch 020/300 | train_loss=16.2121 | train_acc=0.9596 | test_loss=3.4070 | test_acc=0.8144
Epoch 023/300 | train_loss=11.6066 | train_acc=0.9713 | test_loss=2.2279 | test_acc=0.8863
Epoch 019/300 | train_loss=271.5454 | train_acc=0.1124 | test_loss=46.0194 | test_acc=0.1135
Epoch 021/300 | train_loss=17.1438 | train_acc=0.9574 | test_loss=3.6250 | test_acc=0.5744
Epoch 021/300 | train_loss=12.7285 | train_acc=0.9694 | test_loss=2.4089 | test_acc=0.7983
Epoch 021/300 | train_loss=18.5096 | train_acc=0.9545 | test_loss=3.6863 | test_acc=0.7388
Epoch 021/300 | train_loss=271.5416 | train_acc=0.1124 | test_loss=46.0193 | test_acc=0.1135
Epoch 024/300 | train_loss=11.2775 | train_acc=0.9722 | test_loss=2.5864 | test_acc=0.8706
Epoch 021/300 | train_loss=14.9651 | train_acc=0.9638 | test_loss=2.7721 | test_acc=0.6448
